书名,作者,介绍,更新时间
我的模拟长生路,愤怒的乌贼, 仙道何其难!更何况这个被一场瘟疫彻底改变的修仙界！凡人身带疫病，仙人一旦接触，轻则修为下降，重则还道于天，于是仙凡永隔；仙法不可同修，整个修仙界成为了一个巨大的黑暗森林；……李凡穿越而来，虽有雄心万丈，却只能于凡尘中打滚，蹉跎一生。好在临终之时终于觉醒异宝，能够化真为假，将真实的人生转为黄粱一梦，重回刚穿越之时！于是，李凡开始了他的漫漫长生路！第二世，李凡历时五十载终权倾天下，但却遍寻世间而不见仙踪。只在人生的末尾得见仙人痕迹。第三世，李凡殚精竭虑、百般谋划，却终抵不过仙人一剑！第四世…………我，李凡，一介凡人，百世不悔，但求长生！ ,2025-03-09 23:59
从斩妖除魔开始长生不死,陆月十九, 消耗寿元灌注武学，可无限进行推演。沈仪凡人之躯，寿数不过百年，所幸可以通过斩杀妖魔获取对方剩余寿元。在邪祟遍地的乱世中亮出长刀，让这群活了千百年的生灵肝胆俱裂！从【鹰爪功】到【八荒裂天手】，从【伏魔拳】到【金身镇狱法相】！沈仪偶尔也会沉思，这寿命怎么越用越多了？他收刀入鞘，抬眸朝天上看去，听闻那云端之上有天穹玉府，其内坐满了千真万圣，任何一位都曾经历无尽岁月。此番踏天而来，只为向诸仙借个百万年，以证我长生不死大道。……此书又名《让你氪命练武，你氪别人的？》、《道友请留步，你的寿元与在下有缘》。 ,2025-03-09 23:03
超维度玩家,诸生浮屠, 【捕获人间体】【正在渗透现实宇宙……】【侵入世界根源法则！……侦测高纬度生命体！……未发现其他维度生命……】【正在载入人间体！】你是穿越一切维度之上的玩家，拥有近乎于上帝私生子般的权柄。你拥有无数的身份，乞丐、贱民、海盗、角斗士、游侠、北地恶龙、地狱行刑者、星际浪子、异怪猎手、魔女的主人、帝国掘墓人、诸神黄昏、灭世者等等。整个现实宇宙都是你的游戏场。你是至高的域外天魔！你是上帝的私生子！你是凌驾于一切现实之上的唯一玩家！现在，你需要用你的第一个人间体，在帝国覆灭的动荡中幸存下来。否则你将继续在维度空间沉睡，直到下一个契合的人间体出现。…………（非无限流，玩家唯一性。）（有老书《深渊主宰》，2014年度游戏之王，老书《超级浮空城》，9500均订，可以消遣时间。）（这是第二本游戏异界，杀伐果断，纯爽文，回馈读者的。） ,2025-03-09 18:16
仙工开物,蛊真人, 火山中，先贤大能遗留的机关仙宫，渴望着后继者。母亲舍命争取，获得仙宫宝印，临终托付宁拙。我佛心魔印！渡己为佛，渡人成魔。掌印者，轻刻心印，驭机关若羽。众人御之，神疲意重；宁拙则以一纵万，轻盈若舞。宁拙：“娘，孩儿一定不负您的嘱托，取得那仙宫！”正是：仙偶通灵秘，工巧合至理。开宇出新境，物华与天齐。古钟传法度，月下舞清辉。真身具万象，人间谁与敌！ ,2025-03-09 23:58
绍宋,榴弹怕水, 绍者，一曰继；二曰导。公元1127年，北宋灭亡。旋即，皇九子赵构在万众期待中于商丘登基，继承宋统，改元建炎。然而，三个月内，李纲罢相，陈东被杀，岳飞被驱逐出军，宗泽被遗弃东京，河北抗金布置被全面裁撤……经过这么多努力之后，满朝文武终于统一了思想，定下了拥护赵官家南下淮甸转扬州的辉煌抗金路线。不过刚一启程，在亳州明道宫参拜了道祖之后，这位赵官家便一头栽入了闻名天下的九龙井中，起来后就不认得自己心腹是谁了！朕要抗金！可朕的心腹都在何处？！这是一个来自于九百年后灵魂的真诚呐喊，他在无可奈何继承了大宋的名号后，更要将这个朝廷与天下导向一条新路。故称绍宋。 ,2022-11-25 15:50
我不是袁术,御炎, 穿越了，但是袁术可以躺平摆烂了，但是袁术变成豪门贵公子了，但是袁术衣来伸手饭来张口了，但是袁术袁·路中悍鬼·冢中枯骨·仲氏皇帝·东汉蜜水先生·术！感觉死兆星正在头顶熠熠生辉的袁树不由得握紧了手中的那杯蜜水，恶狠狠的向天下宣示——我不是袁术！我，是袁树！ ,2025-03-10 08:13
高武纪元,烽仙, 从南洋深海中飞起的黑龙，掀起灭世海啸……火焰魔灵毁灭一座座钢筋水泥城市，于核爆中心安然离去……域外神明试图统治整片星海……这是人类科技高度发达的未来世界。也是掀起生命进化狂潮的高武纪元。即将高考的武道学生李源，心怀能观想星海的奇异神宫，在这个世界艰难前行。多年以后。“我现在的飞行速度是122682米/每秒，力量爆发是……”李源在距蓝星表层约180公里的大气层中极速飞行，冰冷眸子盯着昏暗虚空尽头那条形似神话传说中神龙的庞然大物：“你，应该是所有入侵半神生命体中最强的一个了。”“只可惜，现在的我，可以称之为……武神！”————已完成高订11万作品《渊天尊》，高订3万作品《洪主》，精品《寒天帝》，人品保证，放心入坑。 ,2025-03-09 23:59
来自末日,吃书妖, 我在外边捡到了一个来历不明的女孩，她自称穿越者，来自于末日的时代。大劫将至，届时怪异遍布大地，人类文明毁灭，就连世界都要破碎，一切无可挽回。至于我，我正在思考如何把这个暂时失去力量的美少女，监禁在自己的家里。 ,2025-03-10 07:10
从水猴子开始成神,甲壳蚁, 【已有完结七千均大精品，品质保障，放心阅读。】选择大于努力！武师们为陆地宝树打的头破血流，深水神草却无人问津。穿越成渔民的梁渠获得水泽之鼎，炼化【水猴子】天赋，统御水兽，一路收割，踏上巅峰！【水猴子】→【泽狨】→【水王猿】→【淮涡水君】！从此万里泽涛由我做主！…………洪水滔滔。人们跪拜祈福，献上祭品。“求水神大人保佑......”靠，能不能别向我祭祀少女了，我真不是水神啊！ ,2025-03-09 23:58
赤心巡天,情何以甚, （《赤心巡天》实体书已在全网发售。）上古时代，妖族绝迹。近古时代，龙族消失。神道大昌的时代已经如烟，飞剑绝巅的时代终究沉沦……这个世界发生了什么？那埋葬于时间长河里的历史真相，谁来聆听？山河千里写伏尸，乾坤百年描饿虎。天地至公如无情，我有赤心一颗、以巡天！——————欢迎来到，情何以甚的仙侠世界。 ,2025-03-09 12:00
