城市,公司名称,规模,学历,岗位名称,薪资,工作年限
上海,拉卡拉, 500-2000人 ,本科,数据分析-业务运营方向,8k-12k·13薪,不限
城市,公司名称,规模,学历,岗位名称,薪资,工作年限
上海,储田商务, 15-50人 ,本科,实习生 - SEO/SEM/数据分析方向,3k-6k,在校/应届
城市,公司名称,规模,学历,岗位名称,薪资,工作年限
深圳,之江实验室, 2000人以上 ,硕士,大数据分析系统开发工程师（工作地点杭州）,14k-20k,在校/应届
城市,公司名称,规模,学历,岗位名称,薪资,工作年限
上海,之江实验室, 2000人以上 ,博士,脑电信号数据分析研究专员（工作地点杭州）,18k-30k,在校/应届
城市,公司名称,规模,学历,岗位名称,薪资,工作年限
上海,时代光华, 500-2000人 ,本科,数据分析实习生,3k-4k,在校/应届
城市,公司名称,规模,学历,岗位名称,薪资,工作年限
上海,杰奥普鑫投资管理, 少于15人 ,本科,数据分析实习生「对冲基金」,2k-3k,在校/应届
城市,公司名称,规模,学历,岗位名称,薪资,工作年限
北京,神州租车, 2000人以上 ,本科,数据分析 (MJ002242),7k-12k,在校/应届
城市,公司名称,规模,学历,岗位名称,薪资,工作年限
深圳,鸿弧科技, 50-150人 ,大专,数据分析助理（双休）,7k-9k,1年以下
城市,公司名称,规模,学历,岗位名称,薪资,工作年限
北京,久爱致和, 500-2000人 ,本科,【管培生】BI小先蜂（数据分析）,8k-15k,在校/应届
城市,公司名称,规模,学历,岗位名称,薪资,工作年限
上海,蓝鸽集团, 500-2000人 ,本科,大数据工程师（数据挖掘、数仓、大数据分析等方向）,12k-24k·13薪,在校/应届
城市,公司名称,规模,学历,岗位名称,薪资,工作年限
北京,星空书院, 15-50人 ,硕士,数据分析员（实习）,6k-10k,在校/应届
城市,公司名称,规模,学历,岗位名称,薪资,工作年限
北京,亚创, 500-2000人 ,不限,数据分析【2022校招】,10k-15k·14薪,在校/应届
城市,公司名称,规模,学历,岗位名称,薪资,工作年限
北京,北汽新能源, 2000人以上 ,本科,数据分析岗,7k-11k·15薪,在校/应届
城市,公司名称,规模,学历,岗位名称,薪资,工作年限
北京,北汽新能源, 2000人以上 ,硕士,数据分析岗,11k-12k·13薪,在校/应届
城市,公司名称,规模,学历,岗位名称,薪资,工作年限
成都,成都星瀚浩然科技有限公司, 15-50人 ,大专,数据分析专员,4k-8k·13薪,不限
城市,公司名称,规模,学历,岗位名称,薪资,工作年限
南京,正大天晴, 2000人以上 ,本科,医药数据分析,1k-2k,在校/应届
城市,公司名称,规模,学历,岗位名称,薪资,工作年限
深圳,, 150-500人 ,本科,数据产品经理（数据分析方向）,20k-30k,不限
城市,公司名称,规模,学历,岗位名称,薪资,工作年限
杭州,预策科技, 50-150人 ,本科,数据分析师,20k-25k,不限
城市,公司名称,规模,学历,岗位名称,薪资,工作年限
北京,上海唯都, 500-2000人 ,本科,数据分析师,7k-9k,3-5年
城市,公司名称,规模,学历,岗位名称,薪资,工作年限
北京,天盛数通, 15-50人 ,本科,数据分析师,11k-19k·13薪,1-3年
城市,公司名称,规模,学历,岗位名称,薪资,工作年限
北京,信永中和, 2000人以上 ,本科,数据分析师,8k-12k,在校/应届
城市,公司名称,规模,学历,岗位名称,薪资,工作年限
