城市,周期,AQI均值
张家界市,周期2(16-22日),57.00 
张掖市,周期1(9-15日),121.14 
张掖市,周期2(16-22日),91.00 
徐州市,周期1(9-15日),94.71 
徐州市,周期2(16-22日),83.57 
德宏傣族景颇族自治州,周期1(9-15日),70.71 
德宏傣族景颇族自治州,周期2(16-22日),57.57 
德州市,周期1(9-15日),103.71 
德州市,周期2(16-22日),83.29 
德阳市,周期1(9-15日),118.14 
德阳市,周期2(16-22日),100.57 
忻州市,周期1(9-15日),80.86 
忻州市,周期2(16-22日),95.57 
怀化市,周期1(9-15日),80.43 
怀化市,周期2(16-22日),58.14 
怒江傈僳族自治州,周期1(9-15日),55.43 
怒江傈僳族自治州,周期2(16-22日),47.71 
恩施土家族苗族自治州,周期1(9-15日),78.86 
恩施土家族苗族自治州,周期2(16-22日),55.14 
惠州市,周期1(9-15日),94.86 
惠州市,周期2(16-22日),49.43 
成都市,周期1(9-15日),112.14 
成都市,周期2(16-22日),97.29 
扬州市,周期1(9-15日),107.14 
扬州市,周期2(16-22日),97.57 
承德市,周期1(9-15日),70.43 
承德市,周期2(16-22日),59.86 
抚州市,周期1(9-15日),91.14 
抚州市,周期2(16-22日),45.57 
抚顺市,周期1(9-15日),67.86 
抚顺市,周期2(16-22日),63.00 
拉萨市,周期1(9-15日),82.29 
拉萨市,周期2(16-22日),77.86 
揭阳市,周期1(9-15日),77.71 
揭阳市,周期2(16-22日),52.29 
攀枝花市,周期1(9-15日),75.43 
攀枝花市,周期2(16-22日),77.86 
文山壮族苗族自治州,周期1(9-15日),68.00 
文山壮族苗族自治州,周期2(16-22日),51.86 
新乡市,周期1(9-15日),112.71 
新乡市,周期2(16-22日),95.29 
新余市,周期1(9-15日),97.43 
新余市,周期2(16-22日),56.29 
无锡市,周期1(9-15日),107.71 
无锡市,周期2(16-22日),92.14 
日喀则市,周期1(9-15日),79.29 
日喀则市,周期2(16-22日),72.14 
日照市,周期1(9-15日),76.71 
日照市,周期2(16-22日),76.71 
昆明市,周期1(9-15日),70.57 
昆明市,周期2(16-22日),69.00 
昌吉回族自治州,周期1(9-15日),77.71 
昌吉回族自治州,周期2(16-22日),62.29 
昌都市,周期1(9-15日),64.57 
昌都市,周期2(16-22日),67.29 
昭通市,周期1(9-15日),93.00 
昭通市,周期2(16-22日),70.14 
晋中市,周期1(9-15日),123.00 
晋中市,周期2(16-22日),103.71 
晋城市,周期1(9-15日),124.71 
晋城市,周期2(16-22日),103.00 
普洱市,周期1(9-15日),54.71 
普洱市,周期2(16-22日),52.29 
景德镇市,周期1(9-15日),103.14 
景德镇市,周期2(16-22日),53.43 
曲靖市,周期1(9-15日),79.57 
曲靖市,周期2(16-22日),72.14 
朔州市,周期1(9-15日),76.29 
朔州市,周期2(16-22日),96.00 
朝阳市,周期1(9-15日),63.71 
朝阳市,周期2(16-22日),63.29 
本溪市,周期1(9-15日),60.86 
本溪市,周期2(16-22日),62.14 
来宾市,周期1(9-15日),89.86 
来宾市,周期2(16-22日),67.57 
杭州市,周期1(9-15日),96.14 
杭州市,周期2(16-22日),79.71 
松原市,周期1(9-15日),63.57 
松原市,周期2(16-22日),50.43 
林芝市,周期1(9-15日),62.14 
林芝市,周期2(16-22日),54.86 
果洛藏族自治州,周期1(9-15日),66.00 
果洛藏族自治州,周期2(16-22日),74.43 
枣庄市,周期1(9-15日),91.86 
枣庄市,周期2(16-22日),87.00 
柳州市,周期1(9-15日),101.71 
柳州市,周期2(16-22日),73.29 
株洲市,周期1(9-15日),117.86 
株洲市,周期2(16-22日),61.57 
桂林市,周期1(9-15日),138.57 
桂林市,周期2(16-22日),65.71 
梅州市,周期1(9-15日),76.29 
梅州市,周期2(16-22日),48.00 
梧州市,周期1(9-15日),118.57 
梧州市,周期2(16-22日),69.57 
楚雄彝族自治州,周期1(9-15日),63.43 
楚雄彝族自治州,周期2(16-22日),64.57 
榆林市,周期1(9-15日),142.86 
榆林市,周期2(16-22日),135.00 
武威市,周期1(9-15日),200.29 
武威市,周期2(16-22日),114.29 
武汉市,周期1(9-15日),103.57 
武汉市,周期2(16-22日),78.71 
毕节市,周期1(9-15日),97.71 
毕节市,周期2(16-22日),73.29 
永州市,周期1(9-15日),136.29 
永州市,周期2(16-22日),63.29 
汉中市,周期1(9-15日),156.43 
汉中市,周期2(16-22日),83.14 
汕头市,周期1(9-15日),78.00 
汕头市,周期2(16-22日),47.71 
汕尾市,周期1(9-15日),75.14 
汕尾市,周期2(16-22日),43.14 
江门市,周期1(9-15日),101.00 
江门市,周期2(16-22日),48.29 
池州市,周期1(9-15日),101.29 
池州市,周期2(16-22日),78.00 
沈阳市,周期1(9-15日),66.29 
沈阳市,周期2(16-22日),61.00 
沧州市,周期1(9-15日),92.00 
沧州市,周期2(16-22日),76.86 
河池市,周期1(9-15日),98.86 
河池市,周期2(16-22日),66.43 
河源市,周期1(9-15日),93.71 
河源市,周期2(16-22日),61.00 
泉州市,周期1(9-15日),83.57 
泉州市,周期2(16-22日),66.29 
泰安市,周期1(9-15日),87.86 
泰安市,周期2(16-22日),94.57 
泰州市,周期1(9-15日),93.43 
泰州市,周期2(16-22日),93.86 
泸州市,周期1(9-15日),103.00 
泸州市,周期2(16-22日),74.86 
洛阳市,周期1(9-15日),148.71 
洛阳市,周期2(16-22日),105.43 
济南市,周期1(9-15日),95.86 
济南市,周期2(16-22日),93.00 
济宁市,周期1(9-15日),96.71 
济宁市,周期2(16-22日),80.00 
海东市,周期1(9-15日),64.86 
海东市,周期2(16-22日),92.43 
海北藏族自治州,周期1(9-15日),59.00 
海北藏族自治州,周期2(16-22日),70.29 
海南藏族自治州,周期1(9-15日),67.14 
海南藏族自治州,周期2(16-22日),77.00 
海口市,周期1(9-15日),90.86 
海口市,周期2(16-22日),60.71 
海西蒙古族藏族自治州,周期1(9-15日),62.71 
海西蒙古族藏族自治州,周期2(16-22日),116.29 
淄博市,周期1(9-15日),85.86 
淄博市,周期2(16-22日),87.86 
淮北市,周期1(9-15日),98.00 
淮北市,周期2(16-22日),83.57 
淮南市,周期1(9-15日),130.43 
淮南市,周期2(16-22日),84.29 
淮安市,周期1(9-15日),90.57 
淮安市,周期2(16-22日),80.86 
深圳市,周期1(9-15日),87.43 
深圳市,周期2(16-22日),43.29 
清远市,周期1(9-15日),116.71 
清远市,周期2(16-22日),79.00 
温州市,周期1(9-15日),82.00 
温州市,周期2(16-22日),71.14 
渭南市,周期1(9-15日),168.29 
渭南市,周期2(16-22日),110.29 
湖州市,周期1(9-15日),110.00 
湖州市,周期2(16-22日),95.43 
湘潭市,周期1(9-15日),117.14 
湘潭市,周期2(16-22日),62.86 
湘西土家族苗族自治州,周期1(9-15日),81.86 
湘西土家族苗族自治州,周期2(16-22日),56.57 
湛江市,周期1(9-15日),91.71 
湛江市,周期2(16-22日),65.43 
滁州市,周期1(9-15日),101.57 
滁州市,周期2(16-22日),99.00 
滨州市,周期1(9-15日),86.57 
滨州市,周期2(16-22日),83.29 
漯河市,周期1(9-15日),146.29 
漯河市,周期2(16-22日),80.43 
漳州市,周期1(9-15日),81.00 
漳州市,周期2(16-22日),62.86 
潍坊市,周期1(9-15日),85.29 
潍坊市,周期2(16-22日),83.86 
潮州市,周期1(9-15日),77.57 
潮州市,周期2(16-22日),57.57 
濮阳市,周期1(9-15日),109.29 
濮阳市,周期2(16-22日),96.14 
烟台市,周期1(9-15日),68.29 
烟台市,周期2(16-22日),63.71 
焦作市,周期1(9-15日),137.00 
焦作市,周期2(16-22日),102.29 
牡丹江市,周期1(9-15日),60.00 
牡丹江市,周期2(16-22日),55.29 
玉林市,周期1(9-15日),114.29 
玉林市,周期2(16-22日),62.57 
玉树藏族自治州,周期1(9-15日),63.71 
玉树藏族自治州,周期2(16-22日),66.71 
玉溪市,周期1(9-15日),66.00 
玉溪市,周期2(16-22日),64.71 
珠海市,周期1(9-15日),97.71 
珠海市,周期2(16-22日),45.14 
甘南藏族自治州,周期1(9-15日),67.71 
甘南藏族自治州,周期2(16-22日),79.29 
甘孜藏族自治州,周期1(9-15日),51.86 
甘孜藏族自治州,周期2(16-22日),58.57 
白城市,周期1(9-15日),58.86 
白城市,周期2(16-22日),52.57 
白山市,周期1(9-15日),57.14 
白山市,周期2(16-22日),56.00 
白银市,周期1(9-15日),212.00 
白银市,周期2(16-22日),142.86 
百色市,周期1(9-15日),91.86 
百色市,周期2(16-22日),72.57 
益阳市,周期1(9-15日),95.00 
益阳市,周期2(16-22日),66.14 
盐城市,周期1(9-15日),82.00 
盐城市,周期2(16-22日),90.71 
盘锦市,周期1(9-15日),57.57 
盘锦市,周期2(16-22日),66.57 
眉山市,周期1(9-15日),103.71 
眉山市,周期2(16-22日),103.57 
石嘴山市,周期1(9-15日),142.14 
石嘴山市,周期2(16-22日),126.57 
石家庄市,周期1(9-15日),91.14 
石家庄市,周期2(16-22日),89.14 
石河子市,周期1(9-15日),75.86 
石河子市,周期2(16-22日),73.29 
福州市,周期1(9-15日),84.29 
福州市,周期2(16-22日),72.86 
秦皇岛市,周期1(9-15日),68.71 
秦皇岛市,周期2(16-22日),64.00 
红河哈尼族彝族自治州,周期1(9-15日),65.71 
红河哈尼族彝族自治州,周期2(16-22日),56.57 
绍兴市,周期1(9-15日),102.00 
绍兴市,周期2(16-22日),82.86 
绥化市,周期1(9-15日),76.86 
绥化市,周期2(16-22日),90.29 
绵阳市,周期1(9-15日),111.14 
绵阳市,周期2(16-22日),91.14 
聊城市,周期1(9-15日),93.43 
聊城市,周期2(16-22日),91.43 
肇庆市,周期1(9-15日),101.43 
肇庆市,周期2(16-22日),57.86 
自贡市,周期1(9-15日),123.71 
自贡市,周期2(16-22日),88.71 
舟山市,周期1(9-15日),78.86 
舟山市,周期2(16-22日),59.86 
芜湖市,周期1(9-15日),112.29 
芜湖市,周期2(16-22日),85.14 
苏州市,周期1(9-15日),102.14 
苏州市,周期2(16-22日),85.29 
茂名市,周期1(9-15日),97.29 
茂名市,周期2(16-22日),59.00 
荆州市,周期1(9-15日),117.14 
荆州市,周期2(16-22日),76.57 
荆门市,周期1(9-15日),152.86 
荆门市,周期2(16-22日),90.00 
莆田市,周期1(9-15日),84.57 
莆田市,周期2(16-22日),67.29 
菏泽市,周期1(9-15日),98.29 
菏泽市,周期2(16-22日),85.86 
萍乡市,周期1(9-15日),123.00 
萍乡市,周期2(16-22日),52.71 
营口市,周期1(9-15日),61.14 
营口市,周期2(16-22日),67.14 
葫芦岛市,周期1(9-15日),63.14 
葫芦岛市,周期2(16-22日),64.57 
蚌埠市,周期1(9-15日),105.57 
蚌埠市,周期2(16-22日),89.14 
衡水市,周期1(9-15日),97.43 
衡水市,周期2(16-22日),79.00 
衡阳市,周期1(9-15日),120.00 
衡阳市,周期2(16-22日),61.00 
衢州市,周期1(9-15日),95.43 
衢州市,周期2(16-22日),63.29 
襄阳市,周期1(9-15日),140.29 
襄阳市,周期2(16-22日),91.86 
西双版纳傣族自治州,周期1(9-15日),58.43 
西双版纳傣族自治州,周期2(16-22日),45.57 
西宁市,周期1(9-15日),63.14 
西宁市,周期2(16-22日),91.43 
西安市,周期1(9-15日),163.57 
西安市,周期2(16-22日),107.29 
许昌市,周期1(9-15日),132.29 
许昌市,周期2(16-22日),85.29 
贵港市,周期1(9-15日),117.71 
贵港市,周期2(16-22日),67.14 
贵阳市,周期1(9-15日),99.29 
贵阳市,周期2(16-22日),73.00 
贺州市,周期1(9-15日),107.43 
贺州市,周期2(16-22日),63.14 
资阳市,周期1(9-15日),129.00 
资阳市,周期2(16-22日),94.29 
赣州市,周期1(9-15日),92.71 
赣州市,周期2(16-22日),51.71 
赤峰市,周期1(9-15日),55.57 
赤峰市,周期2(16-22日),57.57 
辽源市,周期1(9-15日),69.86 
辽源市,周期2(16-22日),70.00 
辽阳市,周期1(9-15日),65.71 
辽阳市,周期2(16-22日),64.43 
达州市,周期1(9-15日),172.86 
达州市,周期2(16-22日),74.00 
运城市,周期1(9-15日),170.57 
运城市,周期2(16-22日),107.57 
连云港市,周期1(9-15日),73.86 
连云港市,周期2(16-22日),79.43 
迪庆藏族自治州,周期1(9-15日),64.43 
迪庆藏族自治州,周期2(16-22日),56.71 
通化市,周期1(9-15日),56.86 
通化市,周期2(16-22日),58.14 
通辽市,周期1(9-15日),59.43 
通辽市,周期2(16-22日),59.14 
遂宁市,周期1(9-15日),176.29 
遂宁市,周期2(16-22日),94.57 
遵义市,周期1(9-15日),101.57 
遵义市,周期2(16-22日),68.00 
邢台市,周期1(9-15日),92.29 
邢台市,周期2(16-22日),93.43 
那曲市,周期1(9-15日),60.57 
那曲市,周期2(16-22日),65.14 
邯郸市,周期1(9-15日),90.86 
邯郸市,周期2(16-22日),89.43 
邵阳市,周期1(9-15日),129.43 
邵阳市,周期2(16-22日),66.86 
郑州市,周期1(9-15日),147.29 
郑州市,周期2(16-22日),98.00 
郴州市,周期1(9-15日),90.43 
郴州市,周期2(16-22日),62.29 
鄂尔多斯市,周期1(9-15日),126.43 
鄂尔多斯市,周期2(16-22日),135.71 
鄂州市,周期1(9-15日),100.14 
鄂州市,周期2(16-22日),78.14 
酒泉市,周期1(9-15日),83.29 
酒泉市,周期2(16-22日),83.71 
重庆市,周期1(9-15日),128.86 
重庆市,周期2(16-22日),86.71 
金华市,周期1(9-15日),100.00 
金华市,周期2(16-22日),74.00 
金昌市,周期1(9-15日),173.57 
金昌市,周期2(16-22日),110.14 
钦州市,周期1(9-15日),95.71 
钦州市,周期2(16-22日),70.14 
铁岭市,周期1(9-15日),61.29 
铁岭市,周期2(16-22日),58.43 
铜仁市,周期1(9-15日),56.86 
铜仁市,周期2(16-22日),58.43 
铜川市,周期1(9-15日),149.00 
铜川市,周期2(16-22日),109.29 
铜陵市,周期1(9-15日),99.14 
铜陵市,周期2(16-22日),78.57 
银川市,周期1(9-15日),141.14 
银川市,周期2(16-22日),104.57 
锡林郭勒盟,周期1(9-15日),48.29 
锡林郭勒盟,周期2(16-22日),54.57 
锦州市,周期1(9-15日),59.00 
锦州市,周期2(16-22日),63.29 
镇江市,周期1(9-15日),101.86 
镇江市,周期2(16-22日),93.86 
长春市,周期1(9-15日),65.86 
长春市,周期2(16-22日),58.29 
长沙市,周期1(9-15日),117.29 
长沙市,周期2(16-22日),66.00 
长治市,周期1(9-15日),83.57 
长治市,周期2(16-22日),91.57 
阜新市,周期1(9-15日),56.43 
阜新市,周期2(16-22日),66.00 
阜阳市,周期1(9-15日),104.71 
阜阳市,周期2(16-22日),85.86 
防城港市,周期1(9-15日),82.29 
防城港市,周期2(16-22日),60.57 
阳江市,周期1(9-15日),94.14 
阳江市,周期2(16-22日),55.14 
阳泉市,周期1(9-15日),89.71 
阳泉市,周期2(16-22日),101.14 
阿克苏地区,周期1(9-15日),253.00 
阿克苏地区,周期2(16-22日),452.86 
阿勒泰地区,周期1(9-15日),48.86 
阿勒泰地区,周期2(16-22日),46.29 
阿坝藏族羌族自治州,周期1(9-15日),55.29 
阿坝藏族羌族自治州,周期2(16-22日),64.14 
阿拉善盟,周期1(9-15日),138.14 
阿拉善盟,周期2(16-22日),127.86 
阿里地区,周期1(9-15日),70.00 
阿里地区,周期2(16-22日),70.14 
陇南市,周期1(9-15日),144.57 
陇南市,周期2(16-22日),87.14 
随州市,周期1(9-15日),91.00 
随州市,周期2(16-22日),85.57 
雅安市,周期1(9-15日),78.00 
雅安市,周期2(16-22日),92.86 
青岛市,周期1(9-15日),69.86 
青岛市,周期2(16-22日),70.14 
鞍山市,周期1(9-15日),61.43 
鞍山市,周期2(16-22日),61.29 
韶关市,周期1(9-15日),104.57 
韶关市,周期2(16-22日),63.14 
马鞍山市,周期1(9-15日),105.71 
马鞍山市,周期2(16-22日),91.43 
驻马店市,周期1(9-15日),139.00 
驻马店市,周期2(16-22日),81.14 
鸡西市,周期1(9-15日),73.71 
鸡西市,周期2(16-22日),56.57 
鹤壁市,周期1(9-15日),118.14 
鹤壁市,周期2(16-22日),96.29 
鹤岗市,周期1(9-15日),51.71 
鹤岗市,周期2(16-22日),47.14 
鹰潭市,周期1(9-15日),98.86 
鹰潭市,周期2(16-22日),49.29 
黄冈市,周期1(9-15日),102.29 
黄冈市,周期2(16-22日),78.00 
黄南藏族自治州,周期1(9-15日),62.86 
黄南藏族自治州,周期2(16-22日),79.00 
黄山市,周期1(9-15日),89.43 
黄山市,周期2(16-22日),63.00 
黄石市,周期1(9-15日),111.86 
黄石市,周期2(16-22日),77.00 
黑河市,周期1(9-15日),39.43 
黑河市,周期2(16-22日),42.57 
黔东南苗族侗族自治州,周期1(9-15日),80.86 
黔东南苗族侗族自治州,周期2(16-22日),65.29 
黔南布依族苗族自治州,周期1(9-15日),83.29 
黔南布依族苗族自治州,周期2(16-22日),68.57 
黔西南布依族苗族自治州,周期1(9-15日),72.57 
黔西南布依族苗族自治州,周期2(16-22日),70.14 
齐齐哈尔市,周期1(9-15日),62.57 
齐齐哈尔市,周期2(16-22日),55.14 
龙岩市,周期1(9-15日),71.71 
龙岩市,周期2(16-22日),49.57 
