日期,城市,空气指标,PM25
18日,锡林郭勒盟,46,4
19日,锡林郭勒盟,48,6
20日,锡林郭勒盟,60,11
21日,锡林郭勒盟,62,26
22日,锡林郭勒盟,64,16
10日,锡林郭勒盟,55,10
11日,锡林郭勒盟,45,12
12日,锡林郭勒盟,52,8
13日,锡林郭勒盟,50,8
14日,锡林郭勒盟,45,18
15日,锡林郭勒盟,43,10
16日,锡林郭勒盟,57,16
17日,阿拉善盟,103,58
10日,阿拉善盟,76,29
11日,阿拉善盟,500,298
12日,阿拉善盟,109,42
13日,阿拉善盟,58,17
14日,阿拉善盟,48,8
15日,阿拉善盟,127,63
16日,阿拉善盟,124,66
18日,阿拉善盟,154,72
19日,阿拉善盟,128,62
20日,阿拉善盟,128,76
21日,阿拉善盟,206,96
22日,阿拉善盟,52,19
09日,阿拉善盟,49,16
17日,沈阳市,74,50
18日,沈阳市,48,25
19日,沈阳市,42,28
20日,沈阳市,67,26
21日,沈阳市,62,33
22日,沈阳市,48,15
09日,沈阳市,88,65
10日,沈阳市,95,57
11日,沈阳市,87,29
12日,沈阳市,58,15
13日,沈阳市,36,10
14日,沈阳市,43,18
15日,沈阳市,57,40
16日,沈阳市,86,40
10日,大连市,55,39
17日,大连市,80,36
18日,大连市,42,16
19日,大连市,60,32
20日,大连市,68,39
21日,大连市,46,29
22日,大连市,58,15
09日,大连市,45,28
11日,大连市,58,24
12日,大连市,54,17
13日,大连市,43,7
14日,大连市,43,13
15日,大连市,41,18
16日,大连市,71,33
10日,鞍山市,84,46
11日,鞍山市,75,20
12日,鞍山市,65,14
17日,鞍山市,70,51
18日,鞍山市,46,23
19日,鞍山市,57,40
20日,鞍山市,60,21
21日,鞍山市,68,27
22日,鞍山市,48,21
09日,鞍山市,77,56
13日,鞍山市,33,13
14日,鞍山市,39,18
15日,鞍山市,57,40
16日,鞍山市,80,25
10日,抚顺市,99,74
11日,抚顺市,91,44
12日,抚顺市,67,14
13日,抚顺市,35,14
14日,抚顺市,46,17
