书名,作者,出版社,出版时间,评分,评分人数,图书链接
重访五四新文化：思想与观念,王风,四川人民出版社,2025-3,未评分,0人评价,https://book.douban.com/subject/37093053/
机械复制时代的艺术作品,[德] 瓦尔特·本雅明,浙江大学出版社,2025-3,未评分,9人评价,https://book.douban.com/subject/37195953/
鸟类启示录：一部文化史,[美]博里亚·萨克斯（Boria Sax）,上海教育出版社,2025-3,未评分,5人评价,https://book.douban.com/subject/37230231/
羽蛇与苍宇之心：墨西哥神话,[美] 大卫·柏尔斯,中信出版社,2025-3-20,未评分,1人评价,https://book.douban.com/subject/37221974/
笔的重量,默音,浙江文艺出版社,2025-3,8.6,50人评价,https://book.douban.com/subject/37191754/
卢布：一部政治史：1769—1924,[俄罗斯]叶卡捷琳娜·普拉维洛娃(Ekaterina Pravilova),中国科学技术出版社,2025-3,未评分,9人评价,https://book.douban.com/subject/37157857/
控制论与科学方法论,金观涛,广东人民出版社,2025-3,未评分,7人评价,https://book.douban.com/subject/37235927/
赞美不沉默：随机图书馆02,随机波动,新星出版社,2025-4,未评分,12人评价,https://book.douban.com/subject/37195961/
奴隶船：海上奴隶贸易400年,[日] 布留川正博,浙江人民出版社,2025-3,未评分,3人评价,https://book.douban.com/subject/37258975/
来自东方的珍宝：东印度公司自然、文化探索简史,[英]亚瑟·麦格雷戈(Arthur MacGregor),中国科学技术出版社,2025-3,未评分,13人评价,https://book.douban.com/subject/37094573/
不再踏入流量的河,凡之昂,广西师范大学出版社,2025-2,8.7,50人评价,https://book.douban.com/subject/37109561/
拉康式精神病主体,[比]斯蒂恩·范霍勒,上海三联书店,2025-3,8.9,12人评价,https://book.douban.com/subject/37136803/
苏格拉底的方法,[美] 沃德·法恩斯沃斯,浙江科学技术出版社,2025-3-3,未评分,10人评价,https://book.douban.com/subject/37254213/
女人们的谈话,[加]米莉亚姆·泰维兹,湖南文艺出版社,2025-2,9.1,25人评价,https://book.douban.com/subject/37124493/
超越猿类：人类道德心理进化史,[加] 维克多·库马尔,广西师范大学出版社,2025-3,未评分,5人评价,https://book.douban.com/subject/37138373/
垫底辣妹升学记,(日) 坪田信贵,新星出版社,2025-3,8.7,45人评价,https://book.douban.com/subject/37193544/
亲密与骚扰：情感依赖的深层原因,[法] 厄德·塞梅里亚,上海文艺出版社,2025-2,未评分,3人评价,https://book.douban.com/subject/37039139/
士兵之死：世界阵亡简史,[美]迈克尔·史蒂文森,生活·读书·新知三联书店,2025-3,未评分,2人评价,https://book.douban.com/subject/35268794/
父亲的解放日志,[韩] 郑智我,新星出版社,2025-3,8.6,20人评价,https://book.douban.com/subject/37200304/
其实你也知道一切都没有什么道理,小爆炸,浙江人民出版社,2025-3,9.5,18人评价,https://book.douban.com/subject/37181746/
1688：第一次现代革命,[英] 史蒂夫·平卡斯,广西师范大学出版社,2025-2,9.5,41人评价,https://book.douban.com/subject/36858412/
真爱遗事：中国现代爱情观的形成,[英] 潘翎,广西师范大学出版社,2025-3,8.6,37人评价,https://book.douban.com/subject/37180568/
