电影中文名,电影英文名,电影详情页链接,导演,主演,上映年份,国籍,类型,评分,评分人数
哈利·波特与火焰杯,Harry Potter and the Goblet of Fire,https://movie.douban.com/subject/1309055/,迈克·内威尔 Mike Newell   ,丹尼尔·雷德克里夫 Daniel Radclif...,2005 ,英国 美国,悬疑 奇幻 冒险,8.8,722631人评价
倩女幽魂,倩女幽魂(87版)  /  倩女幽魂：妖魔道,https://movie.douban.com/subject/1297447/,程小东 Siu-Tung Ching   ,张国荣 Leslie Cheung / 王祖贤 Joey W...,1987 ,中国香港,爱情 奇幻 武侠 古装,8.8,778709人评价
完美的世界,A Perfect World,https://movie.douban.com/subject/1300992/,克林特·伊斯特伍德 Clint Eastwood   ,凯文·科斯特纳 Kevin Cos...,1993 ,美国,剧情 犯罪,9.1,338948人评价
阳光灿烂的日子,In the Heat of the Sun,https://movie.douban.com/subject/1291875/,姜文 Wen Jiang   ,夏雨 Yu Xia / 宁静 Jing Ning / 陶虹 Hong Tao,1994 ,中国大陆 中国香港,剧情 爱情,8.8,653977人评价
茶馆,The Teahouse,https://movie.douban.com/subject/1461403/,谢添 Tian Xie   ,于是之 Shizhi Yu / 郑榕 Rong Zhen / 蓝天野 T...,1982(中国大陆) ,中国大陆,剧情 历史,9.6,177600人评价
小森林 夏秋篇,リトル・フォレスト 夏・秋,https://movie.douban.com/subject/25814705/,森淳一 Junichi Mori   ,桥本爱 Ai Hashimoto / 三浦贵大 Takahir...,2014 ,日本,剧情,9.0,449926人评价
天使爱美丽,Le Fabuleux destin d'Amélie Poulain,https://movie.douban.com/subject/1292215/,让-皮埃尔·热内 Jean-Pierre Jeunet   ,奥黛丽·塔图 Audrey Tau...,2001 ,法国 德国,剧情 喜剧 爱情,8.7,988418人评价
侧耳倾听,耳をすませば,https://movie.douban.com/subject/1297052/,近藤喜文 Yoshifumi Kondo   ,本名阳子 Youko Honna / 小林桂树 K...,1995 ,日本,剧情 爱情 动画,8.9,494654人评价
驯龙高手,How to Train Your Dragon,https://movie.douban.com/subject/2353023/,迪恩·德布洛斯 Dean DeBlois / 克里斯·桑德斯 Chris Sanders   主演:...,本名阳子 Youko Honna / 小林桂树 K...,2010 ,美国,动画 奇幻 冒险,8.8,804543人评价
新世界,신세계,https://movie.douban.com/subject/10437779/,朴勋政 Hoon-jung Park   ,李政宰 Jung-Jae Lee / 崔岷植 Min-sik...,2013 ,韩国,剧情 犯罪,8.9,485880人评价
教父3,The Godfather: Part III,https://movie.douban.com/subject/1294240/,弗朗西斯·福特·科波拉 Francis Ford Coppola   ,阿尔·帕西诺 A...,1990 ,美国,剧情 犯罪,9.0,403203人评价
头脑特工队,Inside Out,https://movie.douban.com/subject/10533913/,彼特·道格特 Pete Docter / 罗纳尔多·德尔·卡门 Ronaldo Del Carmen  &nb...,阿尔·帕西诺 A...,2015 ,美国,喜剧 动画 冒险,8.8,717781人评价
怪兽电力公司,"Monsters, Inc.",https://movie.douban.com/subject/1291579/,彼特·道格特 Pete Docter / 大卫·斯沃曼 David Silverman   ,约...,2001 ,美国,儿童 喜剧 动画 奇幻 冒险,8.8,722992人评价
幸福终点站,The Terminal,https://movie.douban.com/subject/1292274/,史蒂文·斯皮尔伯格 Steven Spielberg   ,汤姆·汉克斯 Tom Hanks...,2004 ,美国,喜剧 剧情 爱情,8.8,607448人评价
一个叫欧维的男人决定去死,En man som heter Ove,https://movie.douban.com/subject/26628357/,汉内斯·赫尔姆 Hannes Holm   ,罗夫·拉斯加德 Rolf Lassgård...,2015 ,瑞典,剧情,8.9,523723人评价
傲慢与偏见,Pride & Prejudice,https://movie.douban.com/subject/1418200/,乔·怀特 Joe Wright   ,凯拉·奈特莉 Keira Knightley / 马修·...,2005 ,法国 英国 美国,剧情 爱情,8.7,861238人评价
玩具总动员3,Toy Story 3,https://movie.douban.com/subject/1858711/,李·昂克里奇 Lee Unkrich   ,汤姆·汉克斯 Tom Hanks / 蒂姆·艾...,2010 ,美国,喜剧 动画 奇幻 冒险,8.9,555462人评价
小森林 冬春篇,リトル・フォレスト 冬・春,https://movie.douban.com/subject/25814707/,森淳一 Junichi Mori   ,桥本爱 Ai Hashimoto / 三浦贵大 Takahir...,2015 ,日本,剧情,9.0,400064人评价
色，戒,色|戒  /  色·戒,https://movie.douban.com/subject/1828115/,李安 Ang Lee   ,梁朝伟 Tony Leung Chiu Wai / 汤唯 Wei Tang / ...,2007 ,中国台湾 中国大陆 美国 中国香港,剧情 爱情 情色,8.7,889130人评价
被解救的姜戈,Django Unchained,https://movie.douban.com/subject/6307447/,昆汀·塔伦蒂诺 Quentin Tarantino   ,杰米·福克斯 Jamie Foxx /...,2012 ,美国,剧情 动作 西部 冒险,8.8,650417人评价
釜山行,부산행,https://movie.douban.com/subject/25986180/,延尚昊 Sang-ho Yeon   ,孔侑 Yoo Gong / 郑有美 Yu-mi Jung / 马...,2016 ,韩国,动作 惊悚 灾难,8.6,1274934人评价
神偷奶爸,Despicable Me,https://movie.douban.com/subject/3287562/,皮艾尔·柯芬 Pierre Coffin / 克里斯·雷纳德 Chris Renaud   ,...,2010 ,美国 法国,喜剧 动画 冒险,8.7,999107人评价
萤火之森,蛍火の杜へ,https://movie.douban.com/subject/5989818/,大森贵弘 Takahiro Omori   ,佐仓绫音 Ayane Sakura / 内山昂辉 K...,2011 ,日本,剧情 爱情 动画 奇幻,8.8,576261人评价
九品芝麻官,九品芝麻官之白面包青天  /  Hail the Judge,https://movie.douban.com/subject/1297518/,王晶 Jing Wong   ,周星驰 Stephen Chow / 吴孟达 Man Tat Ng / ...,1994 ,中国香港 中国大陆,剧情 喜剧 古装,8.7,737799人评价
哪吒闹海,Prince Nezha's Triumph Against Dragon King  /  Nezha Conquers the Dragon King,https://movie.douban.com/subject/1307315/,王树忱 Shuchen Wang / 严定宪 Dingxian Yan   ,梁正晖 Zhenghui ...,1979 ,中国大陆,冒险 动画 奇幻,9.2,278676人评价
告白,自白  /  母亲,https://movie.douban.com/subject/4268598/,中岛哲也 Tetsuya Nakashima   ,松隆子 Takako Matsu / 冈田将生 ...,2010 ,日本,剧情 悬疑,8.8,706734人评价
喜宴,囍宴,https://movie.douban.com/subject/1303037/,李安 Ang Lee   ,赵文瑄 Winston Chao / 归亚蕾 Ya-lei Kuei / 郎...,1993 ,中国台湾 美国,剧情 喜剧 爱情 同性 家庭,9.0,396192人评价
玛丽和马克思,Mary and Max,https://movie.douban.com/subject/3072124/,亚当·艾略特 Adam Elliot   ,托妮·科莱特 Toni Collette / 菲利...,2009 ,澳大利亚 美国,剧情 喜剧 动画,9.0,439039人评价
模仿游戏,The Imitation Game,https://movie.douban.com/subject/10463953/,莫滕·泰杜姆 Morten Tyldum   ,本尼迪克特·康伯巴奇 Benedict C...,2014 ,英国 美国,剧情 传记 战争 同性,8.8,687778人评价
花样年华,花樣年華,https://movie.douban.com/subject/1291557/,王家卫 Kar Wai Wong   ,梁朝伟 Tony Leung Chiu Wai / 张曼玉 Ma...,2000 ,中国香港,剧情 爱情,8.8,659493人评价
头号玩家,Ready Player One,https://movie.douban.com/subject/4920389/,史蒂文·斯皮尔伯格 Steven Spielberg   ,泰伊·谢里丹 Tye Sheri...,2018 ,美国,动作 科幻 冒险,8.6,1440436人评价
大鱼,Big Fish,https://movie.douban.com/subject/1291545/,蒂姆·波顿 Tim Burton   ,伊万·麦克格雷格 Ewan McGregor / 阿...,2003 ,美国,剧情 爱情 奇幻 冒险,8.8,598258人评价
射雕英雄传之东成西就,射鵰英雄傳之東成西就,https://movie.douban.com/subject/1316510/,刘镇伟 Jeffrey Lau   ,梁朝伟 Tony Leung Chiu Wai / 林青霞 Bri...,1993 ,中国香港,喜剧 奇幻 武侠 古装,8.7,678703人评价
七武士,七人の侍,https://movie.douban.com/subject/1295399/,黑泽明 Akira Kurosawa   ,三船敏郎 Toshirô Mifune / 志村乔 ...,1954 ,日本,动作 冒险 剧情,9.3,214279人评价
惊魂记,Psycho,https://movie.douban.com/subject/1293181/,阿尔弗雷德·希区柯克 Alfred Hitchcock   ,安东尼·博金斯 Antho...,1960 ,美国,悬疑 惊悚 恐怖,9.0,326493人评价
我是山姆,I Am Sam,https://movie.douban.com/subject/1306861/,杰茜·尼尔森 Jessie Nelson   ,Sean Penn / Dakota Fanning / Mi...,2001 ,美国,剧情 家庭,9.0,357917人评价
血战钢锯岭,Hacksaw Ridge,https://movie.douban.com/subject/26325320/,梅尔·吉布森 Mel Gibson   ,安德鲁·加菲尔德 Andrew Garfield /...,2016 ,澳大利亚 美国,剧情 传记 历史 战争,8.7,820422人评价
阳光姐妹淘,써니,https://movie.douban.com/subject/4917726/,姜炯哲 Hyeong-Cheol Kang   ,沈恩京 Eun-kyung Shim / 闵孝琳 Hy...,2011 ,韩国,剧情 喜剧,8.8,613097人评价
恐怖直播,더 테러 라이브,https://movie.douban.com/subject/21360417/,金秉祐 Byeong-woo Kim   ,河正宇 Jung-woo Ha / 李璟荣 Kyeong-y...,2013 ,韩国,剧情 犯罪 悬疑,8.7,693187人评价
你的名字。,君の名は。,https://movie.douban.com/subject/26683290/,新海诚 Makoto Shinkai   ,神木隆之介 Ryûnosuke Kamiki / 上...,2016 ,日本,剧情 爱情 动画,8.5,1509153人评价
黑客帝国3：矩阵革命,The Matrix Revolutions,https://movie.douban.com/subject/1302467/,拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski   ...,神木隆之介 Ryûnosuke Kamiki / 上...,2003 ,美国,动作 科幻,8.8,472305人评价
三块广告牌,"Three Billboards Outside Ebbing, Missouri",https://movie.douban.com/subject/26611804/,马丁·麦克唐纳 Martin McDonagh   ,弗兰西斯·麦克多蒙德 France...,2017 ,英国 美国,剧情 犯罪,8.7,872022人评价
心迷宫,殡棺  /  The Coffin in the Mountain,https://movie.douban.com/subject/25917973/,忻钰坤 Yukun Xin   ,霍卫民 Weimin Huo / 王笑天 Xiaotian Wang ...,2014 ,中国大陆,剧情 犯罪 悬疑,8.8,571708人评价
电锯惊魂,Saw,https://movie.douban.com/subject/1417598/,詹姆斯·温 James Wan   ,雷·沃纳尔 Leigh Whannell / 加利·艾...,2004 ,美国,悬疑 惊悚 恐怖,8.7,573847人评价
达拉斯买家俱乐部,Dallas Buyers Club,https://movie.douban.com/subject/1793929/,让-马克·瓦雷 Jean-Marc Vallée   ,马修·麦康纳 Matthew McCon...,2013 ,美国,剧情 传记 同性,8.8,480533人评价
小丑,Joker,https://movie.douban.com/subject/27119724/,托德·菲利普斯 Todd Phillips   ,杰昆·菲尼克斯 Joaquin Phoeni...,2019 ,美国 加拿大,剧情 犯罪 惊悚,8.7,1074163人评价
疯狂原始人,The Croods,https://movie.douban.com/subject/1907966/,科克·德·米科 Kirk De Micco / 克里斯·桑德斯 Chris Sanders   主演...,杰昆·菲尼克斯 Joaquin Phoeni...,2013 ,美国,喜剧 动画 冒险,8.7,881380人评价
谍影重重3,The Bourne Ultimatum,https://movie.douban.com/subject/1578507/,保罗·格林格拉斯 Paul Greengrass   ,马特·达蒙 Matt Damon / ...,2007 ,美国 德国 法国 英国,动作 悬疑 惊悚,8.8,443881人评价
心灵奇旅,Soul,https://movie.douban.com/subject/24733428/,彼特·道格特 Pete Docter / 凯普·鲍尔斯 Kemp Powers   ,杰米·...,2020 ,美国,动画 奇幻 音乐,8.7,1059689人评价
背靠背，脸对脸,"背对背，脸对脸  /  Back to Back, Face to Face",https://movie.douban.com/subject/1307856/,黄建新 Jianxin Huang / 杨亚洲 Yazhou Yang   ,牛振华 Zhenhua N...,1994 ,中国大陆 中国香港,剧情,9.5,156414人评价
上帝之城,Cidade de Deus,https://movie.douban.com/subject/1292208/,费尔南多·梅里尔斯 Fernando Meirelles / 卡迪亚·兰德 Kátia Lund  &nbsp...,牛振华 Zhenhua N...,2002 ,巴西 法国,犯罪 剧情,9.0,317702人评价
绿里奇迹,The Green Mile,https://movie.douban.com/subject/1300374/,弗兰克·德拉邦特 Frank Darabont   ,汤姆·汉克斯 Tom Hanks / ...,1999 ,美国,犯罪 剧情 奇幻 悬疑,8.9,360813人评价
爱在午夜降临前,Before Midnight,https://movie.douban.com/subject/10808442/,理查德·林克莱特 Richard Linklater   ,伊桑·霍克 Ethan Hawke ...,2013 ,美国 希腊,剧情 爱情,8.9,438393人评价
海街日记,海街diary,https://movie.douban.com/subject/25895901/,是枝裕和 Hirokazu Koreeda   ,绫濑遥 Haruka Ayase / 长泽雅美 M...,2015 ,日本,剧情 家庭,8.8,486147人评价
英雄本色,A Better Tomorrow  /  Gangland Boss,https://movie.douban.com/subject/1297574/,吴宇森 John Woo   ,周润发 Yun-Fat Chow / 狄龙 Lung Ti / 张国...,1986 ,中国香港,剧情 动作 犯罪,8.6,574626人评价
风之谷,風の谷のナウシカ,https://movie.douban.com/subject/1291585/,宫崎骏 Hayao Miyazaki   ,岛本须美 Sumi Shimamoto / 松田洋治 Y...,1984 ,日本,动画 奇幻 冒险,8.9,375175人评价
无间道2,無間道II,https://movie.douban.com/subject/1307106/,刘伟强 / 麦兆辉   ,陈冠希 Edison Chen / 余文乐 Shawn Yue / 曾...,2003 ,中国香港,剧情 犯罪 惊悚,8.8,524859人评价
疯狂的石头,Crazy Stone,https://movie.douban.com/subject/1862151/,宁浩 Hao Ning   ,郭涛 Tao Guo / 刘桦 Hua Liu / 连晋 Teddy Lin,2006 ,中国大陆 中国香港,喜剧 犯罪,8.6,876246人评价
纵横四海,緃横四海,https://movie.douban.com/subject/1295409/,吴宇森 John Woo   ,周润发 Yun-Fat Chow / 张国荣 Leslie Cheung...,1991 ,中国香港,剧情 喜剧 动作 犯罪,8.8,451850人评价
2001太空漫游,2001: A Space Odyssey,https://movie.douban.com/subject/1292226/,斯坦利·库布里克 Stanley Kubrick   ,凯尔·杜拉 Keir Dullea / ...,1968 ,英国 美国,科幻 惊悚 冒险,8.9,363469人评价
雨中曲,Singin' in the Rain,https://movie.douban.com/subject/1293460/,斯坦利·多南 Stanley Donen / 吉恩·凯利 Gene Kelly   ,吉恩·...,1952 ,美国,喜剧 歌舞 爱情,9.1,247242人评价
卢旺达饭店,Hotel Rwanda,https://movie.douban.com/subject/1291822/,特瑞·乔治 Terry George   ,唐·钱德尔 Don Cheadle / 苏菲·奥...,2004 ,英国 南非 意大利 美国,剧情 传记 历史 战争,8.9,349959人评价
记忆碎片,Memento,https://movie.douban.com/subject/1304447/,克里斯托弗·诺兰 Christopher Nolan   ,盖·皮尔斯 Guy Pearce /...,2000 ,美国,犯罪 剧情 悬疑 惊悚,8.7,637640人评价
小偷家族,万引き家族,https://movie.douban.com/subject/27622447/,是枝裕和 Hirokazu Koreeda   ,中川雅也 Lily Franky / 安藤樱 Sa...,2018 ,日本,剧情 犯罪 家庭,8.7,858015人评价
无敌破坏王,Wreck-It Ralph,https://movie.douban.com/subject/6534248/,瑞奇·莫尔 Rich Moore   ,约翰·C·赖利 John C. Reilly / 萨拉...,2012 ,美国,喜剧 动画 奇幻 冒险,8.7,577999人评价
岁月神偷,歲月神偷,https://movie.douban.com/subject/3792799/,罗启锐 Alex Law   ,吴君如 Sandra Ng / 任达华 Simon Yam / 钟绍...,2010 ,中国香港 中国大陆,剧情 家庭,8.7,594888人评价
冰川时代,Ice Age,https://movie.douban.com/subject/1291578/,卡洛斯·沙尔丹哈 Carlos Saldanha / 克里斯·韦奇 Chris Wedge   主演...,吴君如 Sandra Ng / 任达华 Simon Yam / 钟绍...,2002 ,美国,喜剧 动画 冒险,8.6,652298人评价
荒蛮故事,Relatos salvajes,https://movie.douban.com/subject/24750126/,达米安·斯兹弗隆 Damián Szifron   ,达里奥·葛兰帝内提 Darío...,2014 ,阿根廷 西班牙,剧情 喜剧 犯罪,8.8,470890人评价
牯岭街少年杀人事件,牯嶺街少年殺人事件,https://movie.douban.com/subject/1292329/,杨德昌 Edward Yang   ,张震 Chen Chang / 杨静怡 Lisa Yang / 张...,1991 ,中国台湾,剧情 犯罪,8.9,335150人评价
忠犬八公物语,ハチ公物語,https://movie.douban.com/subject/1959195/,神山征二郎 Seijirô Kôyama   ,仲代达矢 Tatsuya Nakadai /...,1987 ,日本,剧情,9.2,207526人评价
恐怖游轮,Triangle,https://movie.douban.com/subject/3011051/,克里斯托弗·史密斯 Christopher Smith   ,梅利莎·乔治 Melissa ...,2009 ,英国 澳大利亚,剧情 悬疑 惊悚,8.5,930266人评价
爆裂鼓手,Whiplash,https://movie.douban.com/subject/25773932/,达米恩·查泽雷 Damien Chazelle   ,迈尔斯·特勒 Miles Teller /...,2014 ,美国,剧情 音乐,8.7,628704人评价
东京教父,東京ゴッドファーザーズ,https://movie.douban.com/subject/1310177/,今敏 Satoshi Kon   ,江守彻 Toru Emori / 梅垣义明 Yoshiaki Ume...,2003 ,日本,剧情 喜剧 动画,9.0,260043人评价
魔女宅急便,魔女の宅急便,https://movie.douban.com/subject/1307811/,宫崎骏 Hayao Miyazaki   ,高山南 Minami Takayama / 佐久间玲 Re...,1989 ,日本,动画 奇幻 冒险,8.7,493989人评价
大佛普拉斯,The Great Buddha+,https://movie.douban.com/subject/27059130/,黄信尧 Hsin-yao Huang   ,庄益增 Yizeng Zhuang / 陈竹昇 Chu-sh...,2017 ,中国台湾,剧情 喜剧,8.7,511981人评价
末路狂花,Thelma & Louise,https://movie.douban.com/subject/1291992/,雷德利·斯科特 Ridley Scott   ,吉娜·戴维斯 Geena Davis / 苏...,1991 ,美国 英国 法国,犯罪 剧情 惊悚,9.0,299461人评价
遗愿清单,The Bucket List,https://movie.douban.com/subject/1867345/,罗伯·莱纳 Rob Reiner   ,杰克·尼科尔森 Jack Nicholson / 摩根...,2007 ,美国,冒险 喜剧 剧情,8.7,500225人评价
贫民窟的百万富翁,Slumdog Millionaire,https://movie.douban.com/subject/2209573/,丹尼·鲍尔 Danny Boyle / 洛芙琳·坦丹 Loveleen Tandan   ,戴夫...,2008 ,英国,剧情 爱情,8.6,778851人评价
东邪西毒,東邪西毒,https://movie.douban.com/subject/1292328/,王家卫 Kar Wai Wong   ,张国荣 Leslie Cheung / 林青霞 Brigitte...,1994 ,中国香港 中国台湾,剧情 动作 爱情 武侠 古装,8.6,605654人评价
你看起来好像很好吃,おまえうまそうだな,https://movie.douban.com/subject/4848115/,藤森雅也 Masaya Fujimori   ,山口胜平 Kappei Yamaguchi / 爱河...,2010 ,日本,剧情 动画 儿童,8.9,353465人评价
源代码,Source Code,https://movie.douban.com/subject/3075287/,邓肯·琼斯 Duncan Jones   ,杰克·吉伦哈尔 Jake Gyllenhaal / ...,2011 ,美国 加拿大,科幻 悬疑 惊悚,8.5,880979人评价
可可西里,Kekexili: Mountain Patrol,https://movie.douban.com/subject/1308857/,陆川 Chuan Lu   ,多布杰 Duobujie / 张磊 Lei Zhang / 亓亮 Qi L...,2004 ,中国大陆 中国香港,剧情 犯罪,8.9,324671人评价
疯狂的麦克斯4：狂暴之路,Mad Max: Fury Road,https://movie.douban.com/subject/3592854/,乔治·米勒 George Miller   ,汤姆·哈迪 Tom Hardy / 查理兹·塞...,2015 ,澳大利亚 美国,动作 科幻 冒险,8.7,582944人评价
城市之光,City Lights,https://movie.douban.com/subject/1293908/,Charles Chaplin   ,查理·卓别林 Charles Chaplin / 弗吉尼亚·...,1931 ,美国,喜剧 剧情 爱情,9.3,159459人评价
海边的曼彻斯特,Manchester by the Sea,https://movie.douban.com/subject/25980443/,肯尼斯·罗纳根 Kenneth Lonergan   ,卡西·阿弗莱克 Casey Affle...,2016 ,美国,剧情 家庭,8.6,600539人评价
高山下的花环,卫国军魂(港)  /  Wreaths at the Foot of the Mountain,https://movie.douban.com/subject/1422283/,谢晋 Jin Xie   ,吕晓禾 Xiaohe Lü / 唐国强 Guoqiang Tang / 何...,1984(中国大陆) ,中国大陆,剧情 战争,9.5,122701人评价
黑天鹅,Black Swan,https://movie.douban.com/subject/1978709/,达伦·阿罗诺夫斯基 Darren Aronofsky   ,娜塔莉·波特曼 Natalie...,2010 ,美国,剧情 惊悚,8.6,813874人评价
波西米亚狂想曲,Bohemian Rhapsody,https://movie.douban.com/subject/5300054/,布莱恩·辛格 Bryan Singer   ,拉米·马雷克 Rami Malek / 本·哈...,2018 ,英国 美国,剧情 传记 同性 音乐,8.6,650917人评价
芙蓉镇,Hibiscus Town,https://movie.douban.com/subject/1297880/,谢晋 Jin Xie   ,刘晓庆 Xiaoqing Liu / 姜文 Wen Jiang / 郑在石...,1987 ,中国大陆,剧情 爱情,9.3,163427人评价
真爱至上,Love Actually,https://movie.douban.com/subject/1292401/,理查德·柯蒂斯 Richard Curtis   ,休·格兰特 Hugh Grant / 连姆...,2003 ,英国 美国 法国,喜剧 剧情 爱情,8.5,770614人评价
爱乐之城,La La Land,https://movie.douban.com/subject/25934014/,达米恩·查泽雷 Damien Chazelle   ,瑞恩·高斯林 Ryan Gosling /...,2016 ,美国,剧情 爱情 歌舞,8.4,1017294人评价
青蛇,Green Snake,https://movie.douban.com/subject/1303394/,徐克 Hark Tsui   ,张曼玉 Maggie Cheung / 王祖贤 Joey Wang / ...,1993 ,中国香港 中国大陆,剧情 爱情 奇幻 古装,8.6,558944人评价
雨人,Rain Man,https://movie.douban.com/subject/1291870/,巴瑞·莱文森 Barry Levinson   ,达斯汀·霍夫曼 Dustin Hoffman ...,1988 ,美国,剧情,8.7,424718人评价
初恋这件小事,สิ่งเล็กเล็กที่เรียกว่า...รัก,https://movie.douban.com/subject/4739952/,普特鹏·普罗萨卡·那·萨克那卡林 Puttipong Promsaka Na Sakolnakorn / 华森·波克彭...,达斯汀·霍夫曼 Dustin Hoffman ...,2010 ,泰国,剧情 喜剧 爱情,8.5,1016496人评价
终结者2：审判日,Terminator 2: Judgment Day,https://movie.douban.com/subject/1291844/,詹姆斯·卡梅隆 James Cameron   ,阿诺·施瓦辛格 Arnold Schwarz...,1991 ,美国 法国,动作 科幻,8.8,362232人评价
花束般的恋爱,花束みたいな恋をした,https://movie.douban.com/subject/34874432/,土井裕泰 Nobuhiro Doi   ,菅田将晖 Masaki Suda / 有村架纯 Kasu...,2021 ,日本,剧情 爱情,8.6,724790人评价
人工智能,A.I. Artificial Intelligence,https://movie.douban.com/subject/1302827/,史蒂文·斯皮尔伯格 Steven Spielberg   ,海利·乔·奥斯蒙 Haley...,2001 ,美国 英国,剧情 科幻,8.7,475046人评价
虎口脱险,La grande vadrouille,https://movie.douban.com/subject/1296909/,杰拉尔·乌里 Gérard Oury   ,路易·德·菲耐斯 Louis de Funès...,1966 ,法国 英国,喜剧 战争,8.9,276654人评价
无耻混蛋,Inglourious Basterds,https://movie.douban.com/subject/1438652/,昆汀·塔伦蒂诺 Quentin Tarantino   ,布拉德·皮特 Brad Pitt / ...,2009 ,德国 美国,剧情 犯罪,8.7,516199人评价
恋恋笔记本,The Notebook,https://movie.douban.com/subject/1309163/,尼克·卡索维茨 Nick Cassavetes   ,瑞恩·高斯林 Ryan Gosling /...,2004 ,美国,剧情 爱情,8.5,713260人评价
新龙门客栈,新龍門客棧,https://movie.douban.com/subject/1292287/,李惠民 Raymond Lee   ,张曼玉 Maggie Cheung / 林青霞 Brigitte ...,1992 ,中国香港 中国大陆,动作 爱情 武侠 古装,8.7,474736人评价
罗生门,羅生門,https://movie.douban.com/subject/1291879/,黑泽明 Akira Kurosawa   ,三船敏郎 Toshirô Mifune / 京町子 ...,1950 ,日本,剧情 犯罪 悬疑,8.8,336804人评价
崖上的波妞,崖の上のポニョ,https://movie.douban.com/subject/1959877/,宫崎骏 Hayao Miyazaki   ,奈良柚莉爱 Yuria Nara / 土井洋辉 Hir...,2008 ,日本,动画 奇幻 冒险,8.6,537515人评价
白日梦想家,The Secret Life of Walter Mitty,https://movie.douban.com/subject/2133323/,本·斯蒂勒 Ben Stiller   ,本·斯蒂勒 Ben Stiller / 克里斯汀·...,2013 ,美国 英国,剧情 喜剧 冒险,8.6,568121人评价
哈利·波特与死亡圣器(上),Harry Potter and the Deathly Hallows: Part 1,https://movie.douban.com/subject/2051007/,大卫·叶茨 David Yates   ,丹尼尔·雷德克里夫 Daniel Radcliffe...,2010 ,英国 美国,奇幻 冒险,8.6,630131人评价
千钧一发,Gattaca,https://movie.douban.com/subject/1300117/,安德鲁·尼科尔 Andrew Niccol   ,伊桑·霍克 Ethan Hawke / 乌玛...,1997 ,美国,剧情 科幻 惊悚,8.8,324712人评价
彗星来的那一夜,Coherence,https://movie.douban.com/subject/25807345/,詹姆斯·沃德·布柯特 James Ward Byrkit   ,艾米丽·芭尔多尼 Em...,2013 ,美国 英国,科幻 悬疑 惊悚,8.6,634836人评价
萤火虫之墓,火垂るの墓,https://movie.douban.com/subject/1293318/,高畑勋 Isao Takahata   ,辰己努 / 白石绫乃 / 志乃原良子,1988 ,日本,动画 剧情 战争,8.7,422622人评价
黑客帝国2：重装上阵,The Matrix Reloaded,https://movie.douban.com/subject/1304141/,拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski   ...,辰己努 / 白石绫乃 / 志乃原良子,2003 ,美国,动作 科幻,8.7,430641人评价
大红灯笼高高挂,Raise The Red Lantern  /  Épouses et concubines,https://movie.douban.com/subject/1293323/,张艺谋 Yimou Zhang   ,巩俐 Li Gong / 马精武 Jingwu Ma / 何赛...,1991 ,中国大陆 中国香港 中国台湾,剧情,8.8,324822人评价
火星救援,The Martian,https://movie.douban.com/subject/25864085/,雷德利·斯科特 Ridley Scott   ,马特·达蒙 Matt Damon / 杰西卡...,2015 ,英国 美国 匈牙利 约旦,剧情 科幻 冒险,8.5,783484人评价
奇迹男孩,Wonder,https://movie.douban.com/subject/26787574/,斯蒂芬·卓博斯基 Stephen Chbosky   ,雅各布·特伦布莱 Jacob Tr...,2017 ,美国 中国香港,剧情 儿童 家庭,8.6,576794人评价
二十二,Twenty Two  /  22,https://movie.douban.com/subject/26430107/,郭柯 Ke Guo   主演:,雅各布·特伦布莱 Jacob Tr...,2015 ,中国大陆,纪录片,8.7,303666人评价
哈利·波特与凤凰社,Harry Potter and the Order of the Phoenix,https://movie.douban.com/subject/1457217/,大卫·叶茨 David Yates   ,丹尼尔·雷德克里夫 Daniel Radcliffe...,2007 ,英国 美国,奇幻 冒险,8.5,626364人评价
战争之王,Lord of War,https://movie.douban.com/subject/1419936/,安德鲁·尼科尔 Andrew Niccol   ,尼古拉斯·凯奇 Nicolas Cage /...,2005 ,美国 德国,剧情 犯罪,8.7,392936人评价
血钻,Blood Diamond,https://movie.douban.com/subject/1428175/,爱德华·兹威克 Edward Zwick   ,莱昂纳多·迪卡普里奥 Leonardo ...,2006 ,美国 德国 英国,剧情 惊悚 冒险,8.7,402476人评价
步履不停,歩いても 歩いても,https://movie.douban.com/subject/2222996/,是枝裕和 Hirokazu Koreeda   ,阿部宽 Hiroshi Abe / 夏川结衣 Yu...,2008 ,日本,剧情 家庭,8.8,301722人评价
千年女优,千年女優,https://movie.douban.com/subject/1307394/,今敏 Satoshi Kon   ,庄司美代子 Miyoko Shôji / 小山茉美 Mam...,2001 ,日本,动画 剧情 爱情,8.8,295005人评价
谍影重重2,The Bourne Supremacy,https://movie.douban.com/subject/1308767/,保罗·格林格拉斯 Paul Greengrass   ,马特·达蒙 Matt Damon / ...,2004 ,美国 德国,动作 悬疑 惊悚,8.7,375507人评价
房间,Room,https://movie.douban.com/subject/25724855/,伦尼·阿伯拉罕森 Lenny Abrahamson   ,布丽·拉尔森 Brie Larson...,2015 ,爱尔兰 加拿大 英国 美国,剧情 家庭,8.8,385513人评价
魂断蓝桥,Waterloo Bridge,https://movie.douban.com/subject/1293964/,茂文·勒鲁瓦 Mervyn LeRoy   ,费雯·丽 Vivien Leigh / 罗伯特·...,1940 ,美国,剧情 爱情 战争,8.8,295254人评价
